"tournament_id","tournament_name","full_name","city","country_code","dates","calendar_year","season","regulation","game","tier","division","reported_players","players_approximate","verified","standings_kind","standings_full","standings_rows","standings_coverage_pct","standings_conflict","usage_entries","known_team_sheets","team_sheet_coverage_pct","match_rows","players_in_matches","match_player_coverage_pct","has_usage","has_standings","has_team_sheets","has_matches","coverage_full_flag","standings_source","team_sheet_source"
"worlds-2026","Worlds 2026","2026 Pokémon World Championships","United States","US","August 28–30, 2026","2026","2026","M-B","Pokémon Champions","worlds","Masters","395","false","true","final","true","395","100.00","","57","394","99.75","1462","395","100.00","true","true","true","true","1","https://rk9.gg/pairings/WCS02wAQpCIaqFmXxER4","limitless;pokedata"
"naic-2026","NAIC 2026","2026 North America International Championships","New Orleans","US","June 12–14, 2026","2026","2026","M-A","Pokémon Champions","international","Masters","1096","false","true","final","false","1094","99.82","{""field"":1096,""rows"":1094,""delta"":-2}","156","1093","99.73","4354","1094","99.82","true","true","true","true","1","https://rk9.gg/pairings/NA02wgUPFDXKmQmqILwS","limitless;pokedata"
"special-event-turin-2026","Turin Special Event 2026","Turin Special Event 2026","Turin","IT","June 6–7, 2026","2026","2026","M-A","Pokémon Champions","special","Masters","940","false","true","final","false","941","100.11","{""field"":940,""rows"":941,""delta"":1}","135","940","100.00","3717","940","100.00","true","true","true","true","1","https://rk9.gg/pairings/TU02wKzv4cT2BBiI9dEg","limitless;pokedata"
"regional-indianapolis-in-2026","Indianapolis Regionals 2026","Indianapolis Regional Championships 2026","Indianapolis","US","May 29–31, 2026","2026","2026","M-A","Pokémon Champions","regional","Masters","1013","false","true","final","true","1013","100.00","","145","1010","99.70","3952","1010","99.70","true","true","true","true","1","https://rk9.gg/pairings/IN02wbUMQOt2eNv12cgC","limitless;pokedata"
"regional-melbourne-2026","Melbourne Regionals 2026","Melbourne Regional Championships 2026","Melbourne","AU","May 23–24, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","291","false","true","final","false","290","99.66","{""field"":291,""rows"":290,""delta"":-1}","41","289","99.31","1132","289","99.31","true","true","true","true","1","https://rk9.gg/pairings/MB02w71HQZzTvTOYLtXb","limitless;pokedata"
"special-event-lima-2026","Lima Special Event 2026","Lima Special Event 2026","Lima","PE","May 23–24, 2026","2026","2026","I","Scarlet & Violet","special","Masters","77","false","true","final","true","77","100.00","","18","77","100.00","287","77","100.00","true","true","true","true","1","https://www.pokedata.ovh/standingsVGC/0000186/masters/R13.php","limitless;reportworm"
"regional-campinas-2026","Campinas Regionals 2026","Campinas Regional Championships 2026","Campinas","BR","May 16–17, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","220","false","true","final","true","220","100.00","","31","218","99.09","814","218","99.09","true","true","true","true","1","https://rk9.gg/pairings/CA02wLAJ2mRyQI5kryVw","limitless;pokedata"
"regional-utrecht-2026","Utrecht Regionals 2026","Utrecht Regional Championships 2026","Utrecht","NL","May 16–17, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","415","false","true","final","true","415","100.00","","60","415","100.00","1682","415","100.00","true","true","true","true","1","https://rk9.gg/pairings/UT02wFHDCjnKgZ9Gscu7","limitless;pokedata"
"regional-los-angeles-ca-2026","Los Angeles Regionals 2026","Los Angeles Regional Championships 2026","Los Angeles","US","May 8–10, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","542","false","true","final","false","538","99.26","{""field"":542,""rows"":538,""delta"":-4}","77","538","99.26","2107","538","99.26","true","true","true","true","1","https://rk9.gg/pairings/LS02w5lpCOiMwPPo7QWD","limitless;pokedata"
"regional-prague-2026","Prague Regionals 2026","Prague Regional Championships 2026","Prague","CZ","April 25–26, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","558","false","true","final","true","558","100.00","","81","557","99.82","2239","556","99.64","true","true","true","true","1","https://rk9.gg/pairings/PR02wayEt6qQBnpFi6cp","limitless;pokedata"
"regional-orlando-fl-2026","Orlando Regionals 2026","Orlando Regional Championships 2026","Orlando","US","April 3–5, 2026","2026","2026","I","Scarlet & Violet","regional","Masters","676","false","true","final","false","675","99.85","{""field"":676,""rows"":675,""delta"":-1}","96","673","99.56","2609","673","99.56","true","true","true","true","1","https://rk9.gg/pairings/OR02wF0GhaiorROTkFlu","limitless;pokedata"
